NM,Solar,1.97
NM,Hydro,0.37
NM,Oil,0.2
NM,Biomass,0.04
NM,Geothermal,0.04
NY,Natural Gas,40.05
NY,Nuclear,31.5
NY,Hydro,18.84
NY,Wind,2.79
NY,Oil,2.64
NY,Biomass,1.75
NY,Coal,1.69
NY,Other,0.66
NY,Solar,0.07
NC,Nuclear,32.65
NC,Coal,31.36
NC,Natural Gas,28.28
NC,Hydro,3.83
NC,Biomass,1.87
NC,Solar,1.42
NC,Oil,0.34
NC,Other,0.27
ND,Coal,75.39
ND,Wind,17.71
ND,Hydro,5.68
ND,Natural Gas,1.05
ND,Other,0.08
ND,Oil,0.07
ND,Biomass,0.02
OH,Coal,59.16
OH,Natural Gas,23.26
OH,Nuclear,14.34
OH,Oil,1.08
OH,Wind,0.99
OH,Biomass,0.67
OH,Hydro,0.42
OH,Solar,0.06
OH,Other,0.01
OK,Natural Gas,45.19
OK,Coal,32.71
OK,Wind,18.43
OK,Hydro,3.21
OK,Biomass,0.42
OK,Oil,0.03
OK,Other,0.02
OK,Solar,0
OR,Hydro,54.88
OR,Natural Gas,27.44
OR,Wind,11.34
OR,Coal,4.04
OR,Biomass,1.84
OR,Geothermal,0.31
OR,Other,0.08
OR,Solar,0.06
OR,Oil,0.01
PA,Nuclear,37.35
PA,Coal,30.42
PA,Natural Gas,27.71
PA,Wind,1.56
PA,Biomass,1.17
PA,Hydro,0.96
PA,Other,0.44
PA,Oil,0.36
PA,Solar,0.04
RI,Natural Gas,81.55
RI,Wind,7.59
RI,Other,7.59
RI,Solar,1.26
RI,Biomass,1.26
RI,Oil,0.74
SC,Nuclear,54.94
SC,Coal,23.4
SC,Natural Gas,16.86
SC,Biomass,2.3
SC,Hydro,2.01
SC,Oil,0.42
SC,Other,0.05
SC,Solar,0.01
SD,Other,28.42
SD,Hydro,28.42
SD,Biomass,14.54
SD,Wind,14.54
SD,Coal,8.76
SD,Natural Gas,5.2
SD,Oil,0.12
TN,Coal,40.58
TN,Nuclear,33.1
TN,Natural Gas,12.28
TN,Hydro,12.24
TN,Biomass,1.39
TN,Oil,0.18
TN,Solar,0.14
TN,Wind,0.06
TN,Other,0.03
TX,Natural Gas,53.16
TX,Coal,27.13
TX,Wind,10.03
TX,Nuclear,8.78
TX,Biomass,0.4
TX,Hydro,0.18
TX,Other,0.16
TX,Solar,0.09
TX,Oil,0.05
UT,Coal,76.05
UT,Natural Gas,19.32
UT,Wind,1.48
UT,Hydro,1.42
UT,Geothermal,1.2
UT,Other,0.25
UT,Biomass,0.17
UT,Solar,0.07
UT,Oil,0.05
VT,Nuclear,72.03
VT,Hydro,16.73
VT,Biomass,6.44
VT,Wind,4.43
VT,Solar,0.33
VT,Natural Gas,0.04
VA,Natural Gas,39.33
VA,Nuclear,33.27
VA,Coal,20.78
VA,Biomass,4.83
VA,Oil,1.33
VA,Other,0.55
VA,Hydro,-0.08
WA,Hydro,67.89
WA,Natural Gas,11.72
WA,Nuclear,7.45
WA,Wind,6.48
WA,Coal,4.61
WA,Biomass,1.72
WA,Other,0.11
WA,Oil,0.02
WA,Solar,0
WV,Coal,93.92
WV,Other,1.91
WV,Hydro,1.91
WV,Wind,1.72
WV,Natural Gas,0.32
WV,Oil,0.19
WV,Biomass,0.01
WI,Coal,55.86
WI,Natural Gas,20.32
WI,Nuclear,15.01
WI,Hydro,3.39
WI,Biomass,2.51
WI,Wind,2.46
WI,Oil,0.33
WI,Other,0.12
WY,Coal,87.42
WY,Wind,7.63
WY,Hydro,1.74
WY,Other,1.74
WY,Natural Gas,1.36
WY,Oil,0.1
